player,Tournament,winnings,year,avg_driving_distance,tournament
Austin Cook,Wyndham Championship,"$12,480",2020,277.9,2020_wyndham_championship
Sebastián Muñoz,Wyndham Championship,"$12,480",2020,278.6,2020_wyndham_championship
Peter Uihlein,Wyndham Championship,"$12,480",2020,266.7,2020_wyndham_championship
Nate Lashley,Wyndham Championship,"$12,224",2020,279.7,2020_wyndham_championship
Patrick Reed,Farmers Insurance Open,"$1,350,000",2021,,2021_farmers_insurance_open
Henrik Norlander,Farmers Insurance Open,"$456,375",2021,,2021_farmers_insurance_open
Viktor Hovland,Farmers Insurance Open,"$456,375",2021,,2021_farmers_insurance_open
Ryan Palmer,Farmers Insurance Open,"$456,375",2021,,2021_farmers_insurance_open
Tony Finau,Farmers Insurance Open,"$456,375",2021,,2021_farmers_insurance_open
Xander Schauffele,Farmers Insurance Open,"$456,375",2021,,2021_farmers_insurance_open
Jon Rahm,Farmers Insurance Open,"$235,625",2021,,2021_farmers_insurance_open
Lanto Griffin,Farmers Insurance Open,"$235,625",2021,,2021_farmers_insurance_open
Peter Malnati,Farmers Insurance Open,"$168,125",2021,,2021_farmers_insurance_open
Sam Ryder,Farmers Insurance Open,"$168,125",2021,,2021_farmers_insurance_open
Luke List,Farmers Insurance Open,"$168,125",2021,,2021_farmers_insurance_open
Rory Sabbatini,Farmers Insurance Open,"$168,125",2021,,2021_farmers_insurance_open
Adam Scott,Farmers Insurance Open,"$168,125",2021,,2021_farmers_insurance_open
Francesco Molinari,Farmers Insurance Open,"$168,125",2021,,2021_farmers_insurance_open
Rory McIlroy,Farmers Insurance Open,"$125,625",2021,,2021_farmers_insurance_open
Robby Shelton,Farmers Insurance Open,"$125,625",2021,,2021_farmers_insurance_open
Sam Burns,Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
Joseph Bramlett,Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
Max Homa,Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
Adam Hadwin,Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
Cameron Tringale,Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
Bo Hoag,Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
Marc Leishman,Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
Kyle Stanley,Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
Charl Schwartzel,Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
"Ted Potter, Jr.",Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
J.T. Poston,Farmers Insurance Open,"$80,761",2021,,2021_farmers_insurance_open
Louis Oosthuizen,Farmers Insurance Open,"$51,375",2021,,2021_farmers_insurance_open
Jason Kokrak,Farmers Insurance Open,"$51,375",2021,,2021_farmers_insurance_open
Carlos Ortiz,Farmers Insurance Open,"$51,375",2021,,2021_farmers_insurance_open
Sungjae Im,Farmers Insurance Open,"$42,825",2021,,2021_farmers_insurance_open
Cameron Davis,Farmers Insurance Open,"$42,825",2021,,2021_farmers_insurance_open
Brandt Snedeker,Farmers Insurance Open,"$42,825",2021,,2021_farmers_insurance_open
Sepp Straka,Farmers Insurance Open,"$42,825",2021,,2021_farmers_insurance_open
Wyndham Clark,Farmers Insurance Open,"$42,825",2021,,2021_farmers_insurance_open
Kevin Streelman,Farmers Insurance Open,"$34,125",2021,,2021_farmers_insurance_open
Alex Noren,Farmers Insurance Open,"$34,125",2021,,2021_farmers_insurance_open
Doug Ghim,Farmers Insurance Open,"$34,125",2021,,2021_farmers_insurance_open
Corey Conners,Farmers Insurance Open,"$34,125",2021,,2021_farmers_insurance_open
Brandon Hagy,Farmers Insurance Open,"$25,875",2021,,2021_farmers_insurance_open
Tom Lewis,Farmers Insurance Open,"$25,875",2021,,2021_farmers_insurance_open
Will Gordon,Farmers Insurance Open,"$25,875",2021,,2021_farmers_insurance_open
Bill Haas,Farmers Insurance Open,"$25,875",2021,,2021_farmers_insurance_open
Lucas Glover,Farmers Insurance Open,"$25,875",2021,,2021_farmers_insurance_open
Bronson Burgoon,Farmers Insurance Open,"$25,875",2021,,2021_farmers_insurance_open
Matt Jones,Farmers Insurance Open,"$19,455",2021,,2021_farmers_insurance_open
Cameron Percy,Farmers Insurance Open,"$19,455",2021,,2021_farmers_insurance_open
Gary Woodland,Farmers Insurance Open,"$19,455",2021,,2021_farmers_insurance_open
Talor Gooch,Farmers Insurance Open,"$19,455",2021,,2021_farmers_insurance_open
Matthew NeSmith,Farmers Insurance Open,"$19,455",2021,,2021_farmers_insurance_open
Michael Kim,Farmers Insurance Open,"$17,496",2021,,2021_farmers_insurance_open
Rickie Fowler,Farmers Insurance Open,"$17,496",2021,,2021_farmers_insurance_open
Roger Sloan,Farmers Insurance Open,"$17,496",2021,,2021_farmers_insurance_open
Hideki Matsuyama,Farmers Insurance Open,"$17,496",2021,,2021_farmers_insurance_open
Dylan Frittelli,Farmers Insurance Open,"$17,496",2021,,2021_farmers_insurance_open
Phil Mickelson,Farmers Insurance Open,"$17,496",2021,,2021_farmers_insurance_open
Rhein Gibson,Farmers Insurance Open,"$17,496",2021,,2021_farmers_insurance_open
Steve Stricker,Farmers Insurance Open,"$16,575",2021,,2021_farmers_insurance_open
Kelly Kraft,Farmers Insurance Open,"$16,575",2021,,2021_farmers_insurance_open
Xinjun Zhang,Farmers Insurance Open,"$16,575",2021,,2021_farmers_insurance_open
Chase Seiffert,Farmers Insurance Open,"$16,575",2021,,2021_farmers_insurance_open
Richy Werenski,Farmers Insurance Open,"$16,575",2021,,2021_farmers_insurance_open
Harry Higgs,Farmers Insurance Open,"$15,900",2021,,2021_farmers_insurance_open
John Huh,Farmers Insurance Open,"$15,900",2021,,2021_farmers_insurance_open
Danny Lee,Farmers Insurance Open,"$15,900",2021,,2021_farmers_insurance_open
K.J. Choi,Farmers Insurance Open,"$15,375",2021,,2021_farmers_insurance_open
Pat Perez,Farmers Insurance Open,"$15,375",2021,,2021_farmers_insurance_open
Troy Merritt,Farmers Insurance Open,"$15,075",2021,,2021_farmers_insurance_open
Tim Wilkinson,Farmers Insurance Open,"$14,850",2021,,2021_farmers_insurance_open
Denny McCarthy,Farmers Insurance Open,"$14,850",2021,,2021_farmers_insurance_open
Tyler McCumber,Farmers Insurance Open,"$14,550",2021,,2021_farmers_insurance_open
Byeong Hun An,Farmers Insurance Open,"$14,550",2021,,2021_farmers_insurance_open
Jason Dufner,Farmers Insurance Open,"$14,250",2021,,2021_farmers_insurance_open
Kevin Stadler,Farmers Insurance Open,"$14,250",2021,,2021_farmers_insurance_open
Grayson Murray,Farmers Insurance Open,"$14,025",2021,,2021_farmers_insurance_open
Kevin Na,Sony Open in Hawaii,"$1,188,000",2021,292.6,2021_sony_open
Chris Kirk,Sony Open in Hawaii,"$587,400",2021,296.2,2021_sony_open
Joaquin Niemann,Sony Open in Hawaii,"$587,400",2021,308.5,2021_sony_open
Marc Leishman,Sony Open in Hawaii,"$277,750",2021,298.6,2021_sony_open
Webb Simpson,Sony Open in Hawaii,"$277,750",2021,293.7,2021_sony_open
Brendan Steele,Sony Open in Hawaii,"$277,750",2021,289.9,2021_sony_open
Billy Horschel,Sony Open in Hawaii,"$200,475",2021,292.3,2021_sony_open
Daniel Berger,Sony Open in Hawaii,"$200,475",2021,298.2,2021_sony_open
Collin Morikawa,Sony Open in Hawaii,"$200,475",2021,292.4,2021_sony_open
Patton Kizzire,Sony Open in Hawaii,"$200,475",2021,294.2,2021_sony_open
Russell Henley,Sony Open in Hawaii,"$153,450",2021,286.8,2021_sony_open
Nick Taylor,Sony Open in Hawaii,"$153,450",2021,296.7,2021_sony_open
Matt Jones,Sony Open in Hawaii,"$153,450",2021,300.9,2021_sony_open
Peter Malnati,Sony Open in Hawaii,"$113,850",2021,289.8,2021_sony_open
Charley Hoffman,Sony Open in Hawaii,"$113,850",2021,311.1,2021_sony_open
Carlos Ortiz,Sony Open in Hawaii,"$113,850",2021,303.2,2021_sony_open
Keith Mitchell,Sony Open in Hawaii,"$113,850",2021,306.5,2021_sony_open
Kramer Hickok,Sony Open in Hawaii,"$78,210",2021,297.8,2021_sony_open
Mackenzie Hughes,Sony Open in Hawaii,"$78,210",2021,298.9,2021_sony_open
Kyoung-Hoon Lee,Sony Open in Hawaii,"$78,210",2021,296.2,2021_sony_open
Hideki Matsuyama,Sony Open in Hawaii,"$78,210",2021,299.5,2021_sony_open
Stewart Cink,Sony Open in Hawaii,"$78,210",2021,295.9,2021_sony_open
Charles Howell III,Sony Open in Hawaii,"$78,210",2021,298.6,2021_sony_open
Vaughn Taylor,Sony Open in Hawaii,"$50,710",2021,287.9,2021_sony_open
Michael Thompson,Sony Open in Hawaii,"$50,710",2021,287.1,2021_sony_open
Hudson Swafford,Sony Open in Hawaii,"$50,710",2021,290.6,2021_sony_open
Sepp Straka,Sony Open in Hawaii,"$50,710",2021,291.3,2021_sony_open
Robby Shelton,Sony Open in Hawaii,"$50,710",2021,297.1,2021_sony_open
Si Woo Kim,Sony Open in Hawaii,"$50,710",2021,298.7,2021_sony_open
Cameron Davis,Sony Open in Hawaii,"$43,230",2021,311.5,2021_sony_open
Mark Hubbard,Sony Open in Hawaii,"$34,577",2021,276.5,2021_sony_open
Wesley Bryan,Sony Open in Hawaii,"$34,577",2021,295.2,2021_sony_open
Harris English,Sony Open in Hawaii,"$34,577",2021,287.8,2021_sony_open
Harry Higgs,Sony Open in Hawaii,"$34,577",2021,296.0,2021_sony_open
Pat Perez,Sony Open in Hawaii,"$34,577",2021,284.9,2021_sony_open
Ryan Armour,Sony Open in Hawaii,"$34,577",2021,285.2,2021_sony_open
Brice Garnett,Sony Open in Hawaii,"$34,577",2021,284.2,2021_sony_open
Kevin Kisner,Sony Open in Hawaii,"$34,577",2021,294.6,2021_sony_open
Jim Herman,Sony Open in Hawaii,"$34,577",2021,288.2,2021_sony_open
Brendon Todd,Sony Open in Hawaii,"$24,090",2021,283.1,2021_sony_open
James Hahn,Sony Open in Hawaii,"$24,090",2021,290.0,2021_sony_open
Adam Scott,Sony Open in Hawaii,"$24,090",2021,304.0,2021_sony_open
Aaron Baddeley,Sony Open in Hawaii,"$24,090",2021,290.8,2021_sony_open
Ryan Palmer,Sony Open in Hawaii,"$24,090",2021,301.0,2021_sony_open
Lanto Griffin,Sony Open in Hawaii,"$24,090",2021,297.1,2021_sony_open
Austin Cook,Sony Open in Hawaii,"$16,903",2021,287.9,2021_sony_open
Jim Furyk,Sony Open in Hawaii,"$16,903",2021,283.2,2021_sony_open
Martin Trainer,Sony Open in Hawaii,"$16,903",2021,300.3,2021_sony_open
Nelson Ledesma,Sony Open in Hawaii,"$16,903",2021,289.1,2021_sony_open
Sergio Garcia,Sony Open in Hawaii,"$16,903",2021,310.7,2021_sony_open
Mike Weir,Sony Open in Hawaii,"$16,903",2021,284.8,2021_sony_open
Brian Stuard,Sony Open in Hawaii,"$16,903",2021,280.8,2021_sony_open
Emiliano Grillo,Sony Open in Hawaii,"$16,903",2021,292.8,2021_sony_open
Scott Brown,Sony Open in Hawaii,"$16,903",2021,303.7,2021_sony_open
Jason Kokrak,Sony Open in Hawaii,"$15,048",2021,296.2,2021_sony_open
Brian Harman,Sony Open in Hawaii,"$15,048",2021,293.6,2021_sony_open
Chris Baker,Sony Open in Hawaii,"$15,048",2021,296.4,2021_sony_open
Troy Merritt,Sony Open in Hawaii,"$15,048",2021,288.8,2021_sony_open
Satoshi Kodaira,Sony Open in Hawaii,"$15,048",2021,289.4,2021_sony_open
Sungjae Im,Sony Open in Hawaii,"$15,048",2021,298.9,2021_sony_open
Cameron Smith,Sony Open in Hawaii,"$14,454",2021,302.7,2021_sony_open
Anirban Lahiri,Sony Open in Hawaii,"$14,454",2021,293.6,2021_sony_open
Zach Johnson,Sony Open in Hawaii,"$14,454",2021,289.7,2021_sony_open
Michael Kim,Sony Open in Hawaii,"$14,124",2021,288.3,2021_sony_open
Sebastián Muñoz,Sony Open in Hawaii,"$14,124",2021,291.5,2021_sony_open
Robert Streb,Sony Open in Hawaii,"$13,728",2021,289.1,2021_sony_open
Jamie Lovemark,Sony Open in Hawaii,"$13,728",2021,300.1,2021_sony_open
Chez Reavie,Sony Open in Hawaii,"$13,728",2021,285.2,2021_sony_open
K.J. Choi,Sony Open in Hawaii,"$13,398",2021,279.5,2021_sony_open
Brian Gay,Sony Open in Hawaii,"$13,266",2021,293.0,2021_sony_open
Jerry Kelly,Sony Open in Hawaii,"$13,134",2021,280.4,2021_sony_open
Collin Morikawa,World Golf Championships-Workday Championship at The Concession,"$1,820,000",2021,287.9,2021_wgc_concession
Viktor Hovland,World Golf Championships-Workday Championship at The Concession,"$783,333",2021,295.5,2021_wgc_concession
Billy Horschel,World Golf Championships-Workday Championship at The Concession,"$783,333",2021,287.5,2021_wgc_concession
Brooks Koepka,World Golf Championships-Workday Championship at The Concession,"$783,333",2021,294.3,2021_wgc_concession
Scottie Scheffler,World Golf Championships-Workday Championship at The Concession,"$430,000",2021,292.8,2021_wgc_concession
Rory McIlroy,World Golf Championships-Workday Championship at The Concession,"$320,667",2021,308.3,2021_wgc_concession
Webb Simpson,World Golf Championships-Workday Championship at The Concession,"$320,667",2021,284.7,2021_wgc_concession
Louis Oosthuizen,World Golf Championships-Workday Championship at The Concession,"$320,667",2021,284.3,2021_wgc_concession
Patrick Reed,World Golf Championships-Workday Championship at The Concession,"$237,500",2021,288.3,2021_wgc_concession
Jason Kokrak,World Golf Championships-Workday Championship at The Concession,"$237,500",2021,293.5,2021_wgc_concession
Kevin Na,World Golf Championships-Workday Championship at The Concession,"$189,667",2021,277.3,2021_wgc_concession
Cameron Smith,World Golf Championships-Workday Championship at The Concession,"$189,667",2021,292.7,2021_wgc_concession
Matt Fitzpatrick,World Golf Championships-Workday Championship at The Concession,"$189,667",2021,285.4,2021_wgc_concession
Tony Finau,World Golf Championships-Workday Championship at The Concession,"$165,000",2021,295.2,2021_wgc_concession
Hideki Matsuyama,World Golf Championships-Workday Championship at The Concession,"$147,333",2021,289.1,2021_wgc_concession
Justin Thomas,World Golf Championships-Workday Championship at The Concession,"$147,333",2021,299.9,2021_wgc_concession
Carlos Ortiz,World Golf Championships-Workday Championship at The Concession,"$147,333",2021,299.0,2021_wgc_concession
Jason Day,World Golf Championships-Workday Championship at The Concession,"$125,500",2021,294.6,2021_wgc_concession
Brendon Todd,World Golf Championships-Workday Championship at The Concession,"$125,500",2021,275.7,2021_wgc_concession
Abraham Ancer,World Golf Championships-Workday Championship at The Concession,"$125,500",2021,280.2,2021_wgc_concession
Bryson DeChambeau,World Golf Championships-Workday Championship at The Concession,"$100,833",2021,300.6,2021_wgc_concession
Sebastián Muñoz,World Golf Championships-Workday Championship at The Concession,"$100,833",2021,291.2,2021_wgc_concession
Tyrrell Hatton,World Golf Championships-Workday Championship at The Concession,"$100,833",2021,293.3,2021_wgc_concession
Lanto Griffin,World Golf Championships-Workday Championship at The Concession,"$100,833",2021,291.4,2021_wgc_concession
Max Homa,World Golf Championships-Workday Championship at The Concession,"$100,833",2021,293.8,2021_wgc_concession
Sungjae Im,World Golf Championships-Workday Championship at The Concession,"$82,500",2021,292.6,2021_wgc_concession
Joaquin Niemann,World Golf Championships-Workday Championship at The Concession,"$82,500",2021,297.3,2021_wgc_concession
Jon Rahm,World Golf Championships-Workday Championship at The Concession,"$72,000",2021,297.6,2021_wgc_concession
Sergio Garcia,World Golf Championships-Workday Championship at The Concession,"$72,000",2021,294.6,2021_wgc_concession
Daniel Berger,World Golf Championships-Workday Championship at The Concession,"$64,500",2021,293.3,2021_wgc_concession
Erik van Rooyen,World Golf Championships-Workday Championship at The Concession,"$59,000",2021,291.9,2021_wgc_concession
Marc Leishman,World Golf Championships-Workday Championship at The Concession,"$55,000",2021,284.2,2021_wgc_concession
Xander Schauffele,World Golf Championships-Workday Championship at The Concession,"$55,000",2021,296.4,2021_wgc_concession
Kevin Kisner,World Golf Championships-Workday Championship at The Concession,"$52,500",2021,280.6,2021_wgc_concession
Gary Woodland,World Golf Championships-Workday Championship at The Concession,"$51,000",2021,292.9,2021_wgc_concession
Mackenzie Hughes,World Golf Championships-Workday Championship at The Concession,"$48,500",2021,285.0,2021_wgc_concession
Tommy Fleetwood,World Golf Championships-Workday Championship at The Concession,"$48,500",2021,284.1,2021_wgc_concession
Matt Kuchar,World Golf Championships-Workday Championship at The Concession,"$48,500",2021,283.1,2021_wgc_concession
Shane Lowry,World Golf Championships-Workday Championship at The Concession,"$44,500",2021,289.2,2021_wgc_concession
Cameron Champ,World Golf Championships-Workday Championship at The Concession,"$44,500",2021,302.5,2021_wgc_concession
Ryan Palmer,World Golf Championships-Workday Championship at The Concession,"$38,300",2021,294.9,2021_wgc_concession
Adam Scott,World Golf Championships-Workday Championship at The Concession,"$38,300",2021,289.2,2021_wgc_concession
Justin Rose,World Golf Championships-Workday Championship at The Concession,"$38,300",2021,291.6,2021_wgc_concession
Bubba Watson,World Golf Championships-Workday Championship at The Concession,"$38,300",2021,287.1,2021_wgc_concession
Dustin Johnson,World Golf Championships-Workday Championship at The Concession,"$38,300",2021,304.4,2021_wgc_concession
Rafa Cabrera Bello,World Golf Championships-Workday Championship at The Concession,"$36,250",2021,280.5,2021_wgc_concession
Lee Westwood,World Golf Championships-Workday Championship at The Concession,"$35,000",2021,287.0,2021_wgc_concession
Harris English,World Golf Championships-Workday Championship at The Concession,"$33,500",2021,283.1,2021_wgc_concession
Brendon Todd,Mayakoba Golf Classic,"$1,296,000",2020,,2020_mayakoba_golf_classic
Vaughn Taylor,Mayakoba Golf Classic,"$544,800",2020,,2020_mayakoba_golf_classic
Carlos Ortiz,Mayakoba Golf Classic,"$544,800",2020,,2020_mayakoba_golf_classic
Adam Long,Mayakoba Golf Classic,"$544,800",2020,,2020_mayakoba_golf_classic
Harris English,Mayakoba Golf Classic,"$295,200",2020,,2020_mayakoba_golf_classic
Joel Dahmen,Mayakoba Golf Classic,"$252,000",2020,,2020_mayakoba_golf_classic
Robby Shelton,Mayakoba Golf Classic,"$252,000",2020,,2020_mayakoba_golf_classic
Abraham Ancer,Mayakoba Golf Classic,"$210,600",2020,,2020_mayakoba_golf_classic
Pat Perez,Mayakoba Golf Classic,"$210,600",2020,,2020_mayakoba_golf_classic
Billy Horschel,Mayakoba Golf Classic,"$210,600",2020,,2020_mayakoba_golf_classic
Brice Garnett,Mayakoba Golf Classic,"$167,400",2020,,2020_mayakoba_golf_classic
C.T. Pan,Mayakoba Golf Classic,"$167,400",2020,,2020_mayakoba_golf_classic
Dylan Frittelli,Mayakoba Golf Classic,"$167,400",2020,,2020_mayakoba_golf_classic
Brian Gay,Mayakoba Golf Classic,"$127,800",2020,,2020_mayakoba_golf_classic
Matt Kuchar,Mayakoba Golf Classic,"$127,800",2020,,2020_mayakoba_golf_classic
Zac Blair,Mayakoba Golf Classic,"$127,800",2020,,2020_mayakoba_golf_classic
Robert Streb,Mayakoba Golf Classic,"$127,800",2020,,2020_mayakoba_golf_classic
Scottie Scheffler,Mayakoba Golf Classic,"$106,200",2020,,2020_mayakoba_golf_classic
Chris Stroud,Mayakoba Golf Classic,"$106,200",2020,,2020_mayakoba_golf_classic
Charles Howell III,Mayakoba Golf Classic,"$88,200",2020,,2020_mayakoba_golf_classic
Ben Martin,Mayakoba Golf Classic,"$88,200",2020,,2020_mayakoba_golf_classic
Bo Hoag,Mayakoba Golf Classic,"$88,200",2020,,2020_mayakoba_golf_classic
Brian Stuard,Mayakoba Golf Classic,"$69,480",2020,,2020_mayakoba_golf_classic
Graeme McDowell,Mayakoba Golf Classic,"$69,480",2020,,2020_mayakoba_golf_classic
Zach Johnson,Mayakoba Golf Classic,"$69,480",2020,,2020_mayakoba_golf_classic
Danny Lee,Mayakoba Golf Classic,"$51,480",2020,,2020_mayakoba_golf_classic
Scott Piercy,Mayakoba Golf Classic,"$51,480",2020,,2020_mayakoba_golf_classic
Chez Reavie,Mayakoba Golf Classic,"$51,480",2020,,2020_mayakoba_golf_classic
Aaron Baddeley,Mayakoba Golf Classic,"$51,480",2020,,2020_mayakoba_golf_classic
Nick Taylor,Mayakoba Golf Classic,"$51,480",2020,,2020_mayakoba_golf_classic
Chris Baker,Mayakoba Golf Classic,"$51,480",2020,,2020_mayakoba_golf_classic
Maverick McNealy,Mayakoba Golf Classic,"$51,480",2020,,2020_mayakoba_golf_classic
Russell Knox,Mayakoba Golf Classic,"$36,810",2020,,2020_mayakoba_golf_classic
Harry Higgs,Mayakoba Golf Classic,"$36,810",2020,,2020_mayakoba_golf_classic
Rory Sabbatini,Mayakoba Golf Classic,"$36,810",2020,,2020_mayakoba_golf_classic
Ryan Armour,Mayakoba Golf Classic,"$36,810",2020,,2020_mayakoba_golf_classic
Matt Jones,Mayakoba Golf Classic,"$36,810",2020,,2020_mayakoba_golf_classic
Bronson Burgoon,Mayakoba Golf Classic,"$36,810",2020,,2020_mayakoba_golf_classic
Chris Kirk,Mayakoba Golf Classic,"$36,810",2020,,2020_mayakoba_golf_classic
Cameron Champ,Mayakoba Golf Classic,"$36,810",2020,,2020_mayakoba_golf_classic
Brendan Steele,Mayakoba Golf Classic,"$25,560",2020,,2020_mayakoba_golf_classic
Henrik Norlander,Mayakoba Golf Classic,"$25,560",2020,,2020_mayakoba_golf_classic
David Hearn,Mayakoba Golf Classic,"$25,560",2020,,2020_mayakoba_golf_classic
Emiliano Grillo,Mayakoba Golf Classic,"$25,560",2020,,2020_mayakoba_golf_classic
Beau Hossler,Mayakoba Golf Classic,"$25,560",2020,,2020_mayakoba_golf_classic
J.T. Poston,Mayakoba Golf Classic,"$25,560",2020,,2020_mayakoba_golf_classic
Chase Seiffert,Mayakoba Golf Classic,"$25,560",2020,,2020_mayakoba_golf_classic
Matthew NeSmith,Mayakoba Golf Classic,"$18,257",2020,,2020_mayakoba_golf_classic
Denny McCarthy,Mayakoba Golf Classic,"$18,257",2020,,2020_mayakoba_golf_classic
Tyler Duncan,Mayakoba Golf Classic,"$18,257",2020,,2020_mayakoba_golf_classic
Scott Stallings,Mayakoba Golf Classic,"$18,257",2020,,2020_mayakoba_golf_classic
Xinjun Zhang,Mayakoba Golf Classic,"$18,257",2020,,2020_mayakoba_golf_classic
Talor Gooch,Mayakoba Golf Classic,"$16,776",2020,,2020_mayakoba_golf_classic
Harold Varner III,Mayakoba Golf Classic,"$15,984",2020,,2020_mayakoba_golf_classic
Patrick Rodgers,Mayakoba Golf Classic,"$15,984",2020,,2020_mayakoba_golf_classic
Mark Hubbard,Mayakoba Golf Classic,"$15,984",2020,,2020_mayakoba_golf_classic
Peter Malnati,Mayakoba Golf Classic,"$15,984",2020,,2020_mayakoba_golf_classic
Kevin Chappell,Mayakoba Golf Classic,"$15,984",2020,,2020_mayakoba_golf_classic
James Hahn,Mayakoba Golf Classic,"$15,984",2020,,2020_mayakoba_golf_classic
Patton Kizzire,Mayakoba Golf Classic,"$15,984",2020,,2020_mayakoba_golf_classic
Graham DeLaet,Mayakoba Golf Classic,"$15,984",2020,,2020_mayakoba_golf_classic
Wes Roach,Mayakoba Golf Classic,"$14,976",2020,,2020_mayakoba_golf_classic
Hudson Swafford,Mayakoba Golf Classic,"$14,976",2020,,2020_mayakoba_golf_classic
Sebastian Cappelen,Mayakoba Golf Classic,"$14,976",2020,,2020_mayakoba_golf_classic
Rafael Campos,Mayakoba Golf Classic,"$14,976",2020,,2020_mayakoba_golf_classic
Cameron Tringale,Mayakoba Golf Classic,"$14,976",2020,,2020_mayakoba_golf_classic
Sam Ryder,Mayakoba Golf Classic,"$14,976",2020,,2020_mayakoba_golf_classic
Scott Harrington,Mayakoba Golf Classic,"$14,256",2020,,2020_mayakoba_golf_classic
Brian Harman,Mayakoba Golf Classic,"$14,256",2020,,2020_mayakoba_golf_classic
Ryan Brehm,Mayakoba Golf Classic,"$14,256",2020,,2020_mayakoba_golf_classic
Luke Donald,Mayakoba Golf Classic,"$14,256",2020,,2020_mayakoba_golf_classic
Kevin Kisner,Mayakoba Golf Classic,"$13,752",2020,,2020_mayakoba_golf_classic
Scott Brown,Mayakoba Golf Classic,"$13,752",2020,,2020_mayakoba_golf_classic
Lanto Griffin,Mayakoba Golf Classic,"$13,752",2020,,2020_mayakoba_golf_classic
Shawn Stefani,Mayakoba Golf Classic,"$13,464",2020,,2020_mayakoba_golf_classic
J.J. Spaun,Mayakoba Golf Classic,"$13,176",2020,,2020_mayakoba_golf_classic
Satoshi Kodaira,Mayakoba Golf Classic,"$13,176",2020,,2020_mayakoba_golf_classic
Jim Herman,Mayakoba Golf Classic,"$13,176",2020,,2020_mayakoba_golf_classic
Lanto Griffin,Houston Open,"$1,350,000",2020,282.3,2020_houston_open
Mark Hubbard,Houston Open,"$667,500",2020,277.6,2020_houston_open
Scott Harrington,Houston Open,"$667,500",2020,288.4,2020_houston_open
Harris English,Houston Open,"$286,875",2020,284.7,2020_houston_open
Xinjun Zhang,Houston Open,"$286,875",2020,281.8,2020_houston_open
Talor Gooch,Houston Open,"$286,875",2020,278.5,2020_houston_open
Sepp Straka,Houston Open,"$286,875",2020,287.5,2020_houston_open
Carlos Ortiz,Houston Open,"$286,875",2020,288.5,2020_houston_open
Bud Cauley,Houston Open,"$196,875",2020,281.8,2020_houston_open
Denny McCarthy,Houston Open,"$196,875",2020,282.4,2020_houston_open
Chad Campbell,Houston Open,"$196,875",2020,275.7,2020_houston_open
Stewart Cink,Houston Open,"$196,875",2020,286.4,2020_houston_open
Bronson Burgoon,Houston Open,"$142,500",2020,283.2,2020_houston_open
Cameron Tringale,Houston Open,"$142,500",2020,284.5,2020_houston_open
Beau Hossler,Houston Open,"$142,500",2020,288.5,2020_houston_open
Doc Redman,Houston Open,"$142,500",2020,287.8,2020_houston_open
Peter Malnati,Houston Open,"$110,625",2020,282.7,2020_houston_open
Austin Cook,Houston Open,"$110,625",2020,283.2,2020_houston_open
Maverick McNealy,Houston Open,"$110,625",2020,285.3,2020_houston_open
Kyle Stanley,Houston Open,"$88,125",2020,279.2,2020_houston_open
Boo Weekley,Houston Open,"$88,125",2020,278.6,2020_houston_open
Ryan Armour,Houston Open,"$67,125",2020,274.8,2020_houston_open
James Hahn,Houston Open,"$67,125",2020,284.5,2020_houston_open
Cameron Champ,Houston Open,"$67,125",2020,298.7,2020_houston_open
Kramer Hickok,Houston Open,"$67,125",2020,279.3,2020_houston_open
Sebastián Muñoz,Houston Open,"$42,482",2020,292.0,2020_houston_open
Sam Ryder,Houston Open,"$42,482",2020,288.6,2020_houston_open
Wes Roach,Houston Open,"$42,482",2020,289.0,2020_houston_open
Robert Streb,Houston Open,"$42,482",2020,285.0,2020_houston_open
Tyler McCumber,Houston Open,"$42,482",2020,297.1,2020_houston_open
Zac Blair,Houston Open,"$42,482",2020,274.2,2020_houston_open
Scottie Scheffler,Houston Open,"$42,482",2020,289.9,2020_houston_open
Michael Gligic,Houston Open,"$42,482",2020,283.7,2020_houston_open
Russell Knox,Houston Open,"$42,482",2020,282.1,2020_houston_open
Brendon Todd,Houston Open,"$42,482",2020,269.1,2020_houston_open
Matt Every,Houston Open,"$42,482",2020,285.8,2020_houston_open
Ricky Barnes,Houston Open,"$42,482",2020,271.7,2020_houston_open
Nick Watney,Houston Open,"$42,482",2020,284.4,2020_houston_open
Luke List,Houston Open,"$42,482",2020,291.1,2020_houston_open
Brian Gay,Houston Open,"$28,125",2020,279.4,2020_houston_open
Martin Laird,Houston Open,"$28,125",2020,284.2,2020_houston_open
Brice Garnett,Houston Open,"$28,125",2020,281.9,2020_houston_open
Ryan Brehm,Houston Open,"$21,825",2020,307.8,2020_houston_open
Rob Oppenheim,Houston Open,"$21,825",2020,269.3,2020_houston_open
